"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Hour_Day","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux","Day_Year","Par_Impar","Hour_Year","MovAvg3h"
"1","Kummeli  15",10045,2044,2019,1,1,0,"TUE",392.47,4550,20,684,69.71,44.3,60.55,34.64,29.84,-1.14692009458333,6.64652085258333,221.986127608333,4.20843447933333,1,"IMPAR",1,20
"2","Kummeli  15",10045,2045,2019,1,1,1,"TUE",393.17,4551,19.8,708,68.99,44.63,60.03,34.57,29.97,-0.939543104666667,6.57819515766667,216.731805883333,4.23400720158333,1,"IMPAR",2,19.9
"3","Kummeli  15",10045,2046,2019,1,1,2,"TUE",393.88,4552,19.9,699,69.11,44.3,59.91,34.51,29.84,-0.804822331916667,6.61160044775,213.507877825,4.12613296575,1,"IMPAR",3,26.2666666666667
"4","Kummeli  15",10045,2047,2019,1,1,3,"TUE",395.25,4553,39.1,1260,71.65,44.68,60.43,50.92,40.11,-0.59592988,7.58095221608333,210.33500615,4.03726175458333,1,"IMPAR",4,32.4333333333333
"5","Kummeli  15",10045,2048,2019,1,1,4,"TUE",396.47,4554,38.3,1226,71.5,44.34,60.31,50.29,39.68,-0.0965251356666667,7.53491041391667,215.409146383333,4.93313814558333,1,"IMPAR",5,37.3666666666667
"6","Kummeli  15",10045,2049,2019,1,1,5,"TUE",397.66,4555,34.7,1137,70.8,44.25,60.19,48.79,39.05,-0.118164113916667,7.2490628985,214.626077041667,5.11068719183333,1,"IMPAR",6,36.1666666666667
"7","Kummeli  15",10045,2050,2019,1,1,6,"TUE",398.8,4556,35.5,1156,70.73,44.04,60.39,48.54,38.67,0.13544939875,7.09144859216667,216.900215775,4.69570225683333,1,"IMPAR",7,35.2666666666667
"8","Kummeli  15",10045,2051,2019,1,1,7,"TUE",399.96,4557,35.6,1162,70.66,44.04,60.38,48.47,38.55,0.39487982725,6.95193037341667,212.847985725,4.39709060741667,1,"IMPAR",8,35.0333333333333
"9","Kummeli  15",10045,2052,2019,1,1,8,"TUE",401.08,4558,34,1133,70.13,44.01,60.24,47.66,38.24,0.50537358225,6.66913026725,208.982488783333,4.71556134741667,1,"IMPAR",9,34.1666666666667
"10","Kummeli  15",10045,2053,2019,1,1,9,"TUE",402.2,4559,32.9,1102,69.81,43.84,59.63,47.03,37.92,0.68275577725,6.902378114,209.916780483333,8.77375691925,1,"IMPAR",10,33.4666666666667
