"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux"
"1","Kummeli  15",10045,2044,2019,1,1,1,"TUE",392.47,4550,20,684,70.1866666666667,44.4475,60.0529166666667,44.1979166666667,36.2145833333333,1.03596722917014,6.08033103577083,220.424909397917,221.108057283167
"2","Kummeli  15",10045,3669,2019,1,2,2,"WED",416.72,4574,12.3,590,71.0804166666667,44.9825,59.73,46.5175,37.59875,-0.636422895614583,4.58658017545139,97.1505248363299,249.572169567167
"3","Kummeli  15",10045,4163,2019,1,3,3,"THU",442.94,4598,25.8,804,72.1908333333333,45.97625,60.5241666666667,52.2958333333333,41.0983333333333,-4.68742535849653,5.53922948515625,30.2122854461354,256.470490808333
"4","Kummeli  15",10045,4678,2019,1,4,4,"FRI",475.5,4622,19.7,682,72.4908333333333,45.2283333333333,59.0258333333333,51.1408333333333,40.3195833333333,-5.29566628990278,2.83345746936458,205.052843692434,278.26160563325
"5","Kummeli  15",10045,5060,2019,1,5,5,"SAT",505.68,4646,17.2,615,72.4933333333333,45.4258333333333,59.89625,51.5216666666667,40.2195833333333,-6.66304567736806,3.25462212240972,39.1073363343507,254.436599168583
"6","Kummeli  15",10045,5428,2019,1,6,6,"SUN",537.51,4670,36.3,1044,75.5008333333333,46.775,60.6858333333333,55.4066666666667,43.0170833333333,-7.17919321882986,2.09674695323264,227.244205526667,223.034143858667
"7","Kummeli  15",10045,5771,2019,1,7,7,"MON",570.21,4694,26.3,761,74.6541666666667,45.455,61.0133333333333,52.4116666666667,40.73125,-4.56207497928819,4.24856949708333,248.824270809028,205.303942317667
"8","Kummeli  15",10045,6130,2019,1,8,8,"TUE",600.9,4718,24.3,723,71.3270833333333,44.0054166666667,60.0725,47.35,37.7625,-2.86130728098611,2.80253660156597,199.165036265972,292.506541687583
"9","Kummeli  15",10045,6318,2019,1,9,9,"WED",628.22,4742,26.7,898,72.7741666666667,44.85,59.9225,50.51125,39.7283333333333,-4.8589870339375,1.79798345101736,210.902892586111,179.840023581417
"10","Kummeli  15",10045,6342,2019,1,10,10,"THU",659.06,4766,26.6,840,71.865,44.4379166666667,59.6925,49.65875,39.2845833333333,-5.2409972051875,1.52258521915625,214.467956402708,149.431020637833
"11","Kummeli  15",10045,6366,2019,1,11,11,"FRI",688.42,4790,26.1,816,71.2270833333333,45.1908333333333,59.8516666666667,50.3429166666667,39.69625,-3.61213891562153,5.24584342857292,244.149509594097,239.33949019525
"12","Kummeli  15",10045,6390,2019,1,12,12,"SAT",720.02,4814,24.9,804,70.655,43.8679166666667,58.2220833333333,48.5033333333333,38.5375,-2.12819410227083,4.3677935324375,276.472219032639,612.400604498833
"13","Kummeli  15",10045,6414,2019,1,13,13,"SUN",748.78,4838,20.2,714,71.11875,45.3541666666667,60.0125,49.06,39.20875,-2.16424740977083,2.65921168807986,211.343651162847,210.01805071275
"14","Kummeli  15",10045,6438,2019,1,14,14,"MON",778.95,4862,27.1,973,70.5725,44.13,59.7554166666667,45.385,36.6920833333333,-0.676796420670138,2.63339269512847,222.922105369097,309.326002671917
"15","Kummeli  15",10045,6462,2019,1,15,15,"TUE",804.52,4886,23,800,71.8816666666667,44.8325,58.8304166666667,50.3316666666667,39.7858333333333,-5.43175830701736,3.06740298690625,270.858682709028,374.645481422083
"16","Kummeli  15",10045,6486,2019,1,16,16,"WED",833.66,4910,24.6,746,72.11875,44.3183333333333,58.8525,50.1654166666667,39.4708333333333,-4.64816343761806,3.97441606542014,263.978252771528,418.753003370583
"17","Kummeli  15",10045,6510,2019,1,17,17,"THU",863.47,4934,26,785,71.8108333333333,44.0225,60.09,46.43125,37.2408333333333,-0.10011892060764,6.37374888261458,241.014653737153,321.088504524917
"18","Kummeli  15",10045,6534,2019,1,18,18,"FRI",889.18,4958,23.1,912,72.0645833333333,44.22875,59.0483333333333,47.4683333333333,37.5829166666667,-5.12326548435417,3.96530557764583,272.723549306597,506.126229910916
"19","Kummeli  15",10045,6558,2019,1,19,19,"SAT",916.62,4982,13.4,618,72.6279166666667,44.3116666666667,59.4908333333333,48.21875,37.9829166666667,-4.67337742960417,4.23289900510069,261.3768361,400.806088662
"20","Kummeli  15",10045,6582,2019,1,20,20,"SUN",944.75,5006,20.4,744,72.46875,43.91375,59.7333333333333,48.4508333333333,37.95625,-4.31746884076042,5.1571444531007,287.949074155556,558.422550915083
"21","Kummeli  15",10045,6606,2019,1,21,21,"MON",973.87,5030,29.3,804,81.1670833333333,46.14875,60.36375,56.0645833333333,42.7979166666667,-11.3488034569826,2.85647729896875,284.527050169097,1153.88889510108
"22","Kummeli  15",10045,6630,2019,1,22,22,"TUE",1002.01,5054,38.6,756,89.5366666666667,49.1775,60.0670833333333,62.94625,47.085,-16.156036624375,1.605754562,213.429872807781,1129.10118387867
"23","Kummeli  15",10045,6654,2019,1,23,23,"WED",1030.26,5078,37.5,731,78.5483333333333,45.5554166666667,59.72125,54.5604166666667,42.0825,-8.3297731565382,2.72589132230556,199.813735739931,383.547931044333
"24","Kummeli  15",10045,6678,2019,1,24,24,"THU",1059.06,5102,26.2,811,75.16875,45.7870833333333,59.4741666666667,54.0529166666667,41.8466666666667,-7.65886666260417,2.80888093392361,148.107295698122,623.055157329499
"25","Kummeli  15",10045,6702,2019,1,25,25,"FRI",1090.68,5126,37.4,778,85.4229166666667,46.5445833333333,60.5279166666667,57.6720833333333,43.74,-13.6245323724306,2.81111230792014,132.469238226771,589.138826843334
"26","Kummeli  15",10045,6726,2019,1,26,26,"SAT",1116.96,5150,34.4,753,81.1141666666667,44.8895833333333,60.1883333333333,53.295,41.2433333333333,-10.4578626092639,2.21699844087153,168.134768338715,816.315626822166
"27","Kummeli  15",10045,6750,2019,1,27,27,"SUN",1142.14,5174,30.9,720,81.8777272727273,45.8790909090909,60.1909090909091,55.3704545454545,42.6004545454545,-10.8031223512083,1.68576556532954,175.926148473201,786.312793870833
"28","Kummeli  15",10045,6774,2019,1,28,28,"MON",1169.45,5198,41.1,838,81.7929166666667,45.23125,60.3075,54.7433333333333,41.9341666666667,-10.2280321271111,5.31282040600347,121.662086797118,513.362080882667
"29","Kummeli  15",10045,6798,2019,1,29,29,"TUE",1195.61,5222,31.1,778,76.8058333333333,43.37875,59.7608333333333,49.4083333333333,38.55125,-6.86856518463195,3.26361694795486,148.087158234861,365.020749903
"30","Kummeli  15",10045,6822,2019,1,30,30,"WED",1220.88,5246,23.3,753,71.7375,43.8158333333333,59.63,48.0333333333333,37.90625,-0.104082367128473,3.7596034653125,222.784152867708,508.2475229055
"31","Kummeli  15",10045,6846,2019,1,31,31,"THU",1249.36,5270,30.2,860,77.3875,45.6729166666667,59.93,53.9058333333333,41.8208333333333,-6.69944939297917,2.10566457391319,143.317978096021,1053.30829054083
"32","Kummeli  15",10045,6870,2019,2,1,32,"FRI",1278.08,5294,26.6,680,73.6258333333333,44.7733333333333,59.5833333333333,49.8079166666667,39.5175,-2.36243895502083,4.48455693722917,89.0653692745833,325.926130072583
